"Number","Name","Short Name","Level","Desc 1","Desc 2","Cast MSG A","Cast MSG B","MSG Style","Energy","Mana","Min","Max","Spell Type","Type of Resists","Difficulty","Target","Duration","Attack Type","Resist Ability","Magery A","Magery B","Level Cap","LVLS Max Increase","Max Increase","LVLS Min Increase","Min Increase","LVLS Dur Increase","Dur Increase","UNDEFINED01","UNDEFINED02","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
255,"corrosion","corr",0,"(spell for dark wizard)",,0,461,0,1000,0,-5,-5,3,2,0,12,100,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,115,81,7,-50,0,0,0,0,0,0,0,0,0,0,0,0
256,"solid fog","sfog",0,"(spell for dark wizard)",,0,462,0,1000,0,125,125,3,2,0,12,30,4,0,0,0,0,0,0,0,0,0,0,0,0,87,0,115,8536,68,200,122,57,122,272,122,283,122,106,0,0,0,0,0,0
257,"mana storm","msto",0,"(spell for dark wizard)",,0,463,0,1000,0,20,20,0,0,0,12,0,4,0,0,0,35,1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,"transform","trans",100,"(death spell for Champion of Blood)",,0,475,0,0,0,181,181,3,0,100,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,"rain of blood","rain",0,"(spell for Champion of Blood)",,1,479,1,1000,0,10,10,0,0,100,12,0,4,0,0,0,0,1,2,1,1,0,0,0,0,17,0,120,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,"vortex of pain","vort",0,"(spell for Champion of Blood)",,0,481,1,1000,0,25,25,3,2,0,12,20,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,101,482,115,483,120,484,0,0,0,0,0,0,0,0,0,0,0,0
261,"flame shower","flame",0,"(spell for greater hellion)",,0,489,1,1000,0,30,65,0,0,100,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,"engulf in flame","eng",0,"(spell for greater hellion)",,0,491,1,1000,0,5,5,0,0,100,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,492,115,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,"dragonfire","dfir",0,"(breath for dragons)",,1,517,0,0,0,4,10,0,0,100,8,0,1,0,0,0,0,1,5,1,2,0,0,0,0,1,0,144,0,164,33,151,410,0,0,0,0,0,0,0,0,0,0,0,0
264,"mystic mist","mist",0,"(spell for monsters)",,0,532,1,0,0,25,25,3,0,100,12,30,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,120,198,101,8489,115,8538,0,533,0,0,0,0,0,0,0,0,0,0
265,"dragonfire","dfir",0,"(breath for adult dragon)",,1,534,0,1000,0,10,0,0,0,100,8,0,1,0,0,0,0,1,5,1,3,0,0,0,0,1,0,144,0,151,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"dragonfire","dfir",0,"(room dragonfire for adult dragon)",,1,535,0,1000,0,0,0,0,0,100,12,0,1,0,0,0,0,1,10,1,3,0,0,0,0,17,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,"divine fury","fury",30,"This powerful spell concentrates the anger of your","god upon your foe for devastating effect!",0,554,0,1000,16,50,-70,0,0,-60,8,0,4,0,2,2,40,1,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,"divine mercy","dmer",30,"This is a most powerful healing spell and heals","your party greatly.",0,109,0,0,50,25,65,3,1,-65,13,0,4,0,2,3,55,3,2,3,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,"song of life","life",8,"This song soothes the party, helping them heal","faster.",0,556,0,0,10,50,50,3,1,0,13,30,4,0,4,0,0,0,0,0,0,0,0,0,0,123,0,115,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,"song of silence","mute",12,"This song silences your foes.",,1,558,0,0,20,-30,-10,3,2,-15,12,20,4,0,4,0,40,0,0,0,0,0,0,0,0,70,0,76,0,52,0,115,78,0,0,0,0,0,0,0,0,0,0,0,0
271,"song of lethargy","leth",13,"This song makes your enemy slow and sluggish to","attack.",0,8505,0,0,12,120,120,3,2,-20,8,20,4,0,4,0,0,0,0,0,0,0,0,0,0,87,0,52,0,115,8536,68,200,122,272,122,57,122,283,122,106,0,0,0,0
272,"song of quickness","quik",15,"This song makes your target speedy in combat.",,0,8505,0,0,12,85,85,3,1,-30,2,20,4,0,4,0,0,0,0,0,0,0,0,0,0,87,0,115,8537,122,271,122,59,122,282,122,218,122,396,0,0,0,0,0,0
273,"song of pain","pain",16,"This song wracks your foe with agony.",,0,8516,0,1000,8,22,6,0,0,-25,8,0,4,0,4,0,24,1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,"song of stunning","stun",18,"This spell stuns your foe for a round.",,1,8505,0,0,24,100,100,3,2,-60,8,1,4,0,4,0,30,0,0,0,0,30,1,0,0,71,0,101,56,115,57,52,0,0,0,0,0,0,0,0,0,0,0,0,0
275,"song of shockwave","shok",19,"This song sends a wave of sonic energy rippling","towards your foes.",0,604,1,1000,10,14,30,0,0,-35,12,0,4,0,4,0,35,1,3,2,1,0,0,0,0,17,0,120,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,"song of heroism","hero",21,"This song imbues the target with excellent combat","powers.",0,8505,0,0,14,10,10,3,1,-40,2,30,4,0,4,0,40,0,0,0,0,2,1,0,0,46,10,48,10,4,2,115,559,0,0,0,0,0,0,0,0,0,0,0,0
277,"song of sonic blast","sbla",22,"This song creates a cone of disharmonic sound that","assaults the target.",0,8504,0,1000,12,31,12,0,0,-45,8,0,4,0,4,0,40,1,2,2,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,"song of evasion","evas",24,"This song creates a sonic wall about you,","allowing you evade physical attacks.",1,560,0,0,20,5,5,3,1,-55,1,5,4,0,4,0,50,10,1,10,1,2,1,0,0,7,0,115,561,36,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0
279,"note of destruction","note",0,"This song wreaks havoc among your foe.",,1,2681,0,1000,0,20,100,0,0,200,12,0,4,0,4,0,0,0,0,0,0,0,0,0,0,17,0,120,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,"summon twins","sum",0,,,1,1,0,0,0,0,0,3,0,200,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,540,12,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,"mana storm","msto",23,"This spell conjures a swirling storm of","destructive mana to engulf the foe.",0,563,1,1000,50,59,55,0,0,-45,12,0,4,0,1,2,32,1,5,0,0,0,0,0,0,17,0,120,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,"solid fog","sfog",19,"This spell conjures a clinging grey fog which","slows down your foe.",0,565,1,0,30,125,125,3,2,-35,12,20,4,0,1,3,0,0,0,0,0,0,0,0,0,87,0,52,0,115,8536,120,566,122,57,122,272,122,283,122,106,68,200,0,0
283,"wind of haste","wind",22,"This spell sends a cool wind blowing through your","party, speeding them.",0,567,1,0,30,80,80,3,1,-50,13,20,4,0,1,3,0,0,0,0,0,0,0,0,0,87,0,115,8537,122,59,122,282,122,271,120,568,0,0,0,0,0,0,0,0
284,"corrosion","corr",24,"This spell creates a thick yellow-brown cloud,","which corrodes your enemy's defenses.",0,569,1,0,15,-8,-8,3,2,-55,12,1,4,0,1,2,40,0,0,0,0,1,4,0,0,2,0,36,-10,52,0,115,81,120,570,7,-50,0,0,0,0,0,0,0,0
285,"meteor swarm","mete",25,"This spell conjures a swarm of speeding meteors to","pound your foe!",1,575,0,250,4,20,10,0,0,-50,8,0,4,0,1,2,35,1,1,0,0,0,0,0,0,17,0,0,25,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,"mystic mist","mist",26,"This spell surrounds your enemies with an","opalescent white mist, confusing them!",0,573,1,0,30,25,25,3,2,-55,12,10,4,0,1,3,40,0,0,0,0,4,1,0,0,71,0,101,8489,52,0,120,198,115,8538,0,0,0,0,0,0,0,0,0,0
287,"spirit horde","spir",28,"This spell conjures a host of shrieking spirits to","rend your enemies!",0,571,1,1000,60,77,55,0,0,-60,12,0,4,0,1,3,50,1,7,2,1,0,0,0,0,17,0,120,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,"dragonfire","dfir",30,"This spell conjures a searing cone of DRAGONFIRE","to attack your foe!",1,577,1,1000,16,100,-50,0,0,-60,8,0,1,0,1,2,40,1,10,4,1,0,0,0,0,17,0,120,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,"stoneskin","ston",19,"This spell hardens your skin until it is as strong","as stone.",1,8255,0,0,20,60,60,3,0,-35,1,30,2,0,3,2,40,10,10,10,10,1,1,0,0,7,0,2,10,36,5,115,579,122,422,122,34,122,1381,65,10,0,0,122,1062
290,"blaze","blaz",20,"This spell summons a tower of burning flame upon","your foe!",1,14,0,1000,12,38,0,0,0,-40,8,0,1,0,3,0,28,1,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,"creeping doom","doom",22,"This spell summons a horde of insects to damage","and hamper the foe's combat effectiveness.",1,7,0,0,16,4,4,3,2,-50,8,30,4,0,3,2,35,10,1,0,0,5,3,0,0,1,0,22,-5,2,-5,115,580,52,0,0,0,0,0,0,0,0,0,0,0
292,"maelstrom","mael",24,"This spell conjures a whirling storm to attack","your foes.",1,581,1,1000,50,62,35,0,0,-45,12,0,4,0,3,2,32,1,5,0,0,0,0,0,0,17,0,120,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,"plasma bolt","plas",23,"This spell fires a superheated ball of energy at","the foe!",0,3242,0,1000,14,54,50,0,0,-50,8,0,4,0,3,2,35,1,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,"plague","plag",26,"This powerful spell creates a deadly plague to","damage your foes!",0,582,1,0,40,2,2,3,2,-55,12,40,4,0,3,3,40,10,1,10,1,0,0,0,0,1,0,120,583,115,584,52,0,34,-5,4,-2,2,-5,0,0,0,0,0,0
295,"earthquake","quak",28,"This spell breaks the ground under your foes'","feet, throwing up jagged rocks!",1,585,1,999,60,91,62,0,0,-55,12,0,2,0,3,3,40,1,6,5,1,0,0,0,0,17,0,120,586,0,35,151,927,0,0,0,0,0,0,0,0,0,0,0,0
296,"earthfist","fist",30,"A massive fist of earth rises up and pounds the","target!",1,14,0,1000,16,72,-70,0,0,-60,8,0,2,0,3,2,40,1,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,"way of the tortoise","tort",12,"Your skin becomes as hard as the shell of a","tortoise!",0,588,0,0,3,10,10,3,0,0,1,45,4,0,5,0,30,0,0,0,0,2,1,0,0,7,0,115,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,"way of the bear","bear",15,"With this power you focus on using your strength","to deal more damage, but become slow and clumsy.",0,588,0,0,4,20,20,3,0,0,1,30,4,0,5,0,30,0,0,0,0,2,1,0,0,46,20,48,-10,115,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,"way of the cobra","cobr",18,"Your strike poisons the foe.",,0,592,1,0,6,6,6,3,2,0,8,80,6,0,5,0,0,0,0,0,0,0,0,0,0,19,0,115,8575,52,0,120,591,0,0,0,0,0,0,0,0,0,0,0,0
300,"hypnotic hands","hypn",21,"By moving your hands about in hypnotic patterns,","you lull your foe into a less competent state.",0,594,1,0,7,-15,-15,3,2,0,8,7,4,0,5,0,30,0,0,0,0,10,1,0,0,22,0,52,0,115,593,120,595,2,-8,71,20,0,0,0,0,0,0,0,0
301,"way of the exploding fist","fist",24,"By concentrating your inner power, you deliver a","devastating punch to your foe!",0,596,1,500,5,0,30,0,0,0,8,0,4,0,5,0,50,1,1,1,1,0,0,0,0,1,0,120,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"pressure points","pres",27,"By using your advanced knowledge of pressure","points, your hits strike with deadly force.",0,598,0,0,8,4,4,3,0,0,1,40,4,0,5,0,30,0,0,0,0,2,1,0,0,89,10,115,599,92,3,93,2,94,1,90,7,91,5,0,0,0,0,0,0
303,"hand of death","hand",30,"By touching your foe, you set up destructive","vibrations which cause incredible damage.",0,600,1,0,12,6,6,3,0,0,8,28,4,0,5,0,30,0,0,0,0,3,1,0,0,1,0,120,601,115,602,52,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"zeal","zeal",25,"This spell causes you to go into a state of zeal,","increasing your combat skills.",1,8249,0,0,20,0,0,3,0,-30,1,10,4,0,2,0,50,10,1,10,1,2,1,0,0,4,0,36,0,58,0,22,0,0,0,115,816,122,347,122,816,122,1315,0,0
305,"smoke bomb","smoke",8,"(smoke for smoke bomb)",,0,607,0,0,0,1,1,3,0,100,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,107,0,108,0,52,0,115,8534,144,0,0,0,0,0,0,0,0,0,0,0
306,"death gaze","anni",0,,,1,2755,0,0,0,100,100,3,0,200,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,95,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"globe of invulnerability","ginv",0,,,1,66,1,0,0,100,100,3,0,100,2,500,4,0,0,0,0,0,0,0,0,0,0,0,0,158,9,115,638,139,9999,120,623,142,10,2,100,7,1000,18,9999,150,9999,34,100
308,"sphere of isolation","siso",0,,,0,66,1,0,0,100,100,3,0,100,8,200,4,0,0,0,0,0,0,0,0,0,0,0,0,87,5000,13,-9999,74,0,71,100,76,0,22,-100,120,625,115,639,79,0,101,875
309,"ethereal chains","chai",0,,,0,627,1,0,0,1,1,3,0,100,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,79,0,120,626,74,100,115,640,0,0,0,0,0,0,0,0,0,0,0,0
310,"negate magic","nmag",0,,,0,66,1,0,0,0,0,3,0,100,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,73,0,115,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"judgement of doom","doom",0,,,0,630,1,0,0,5,5,3,0,100,8,9999,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,631,0,0,115,876,22,-500,2,-500,7,-500,58,-100,36,-500,0,0
312,"Eye of Magnus","eyem",0,,,0,632,1,0,0,100,100,3,0,100,2,200,4,0,0,0,0,0,0,0,0,0,0,0,0,57,0,77,100,120,633,115,641,13,9999,0,0,0,0,0,0,0,0,0,0
313,"bigheal","rsto",0,,,1,109,0,0,0,9999,9999,3,0,100,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,150,0,115,66,0,9999,0,0,0,0,0,0,0,0,0,0,0,0
314,"combat fury","comb",0,,,0,636,1,0,0,50,50,3,0,100,2,500,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,50,87,50,142,10,120,637,115,642,58,50,0,0,0,0,0,0
315,"calls for aid","aid",0,,,0,651,1,1000,0,0,0,3,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,217,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,"food","food",0,,,0,645,0,0,0,0,2,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,"drink","drink",0,,,0,645,0,0,0,1,1,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,-10,0,-10,0,1,144,0,0,0,0,0,0,0,0,0,0,0
318,"knockdown","knock",0,,,0,647,1,0,0,-5,-5,1,0,100,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,-10,74,1,115,648,144,0,34,-20,0,0,0,0,0,0,0,0
319,"firebomb","fire",0,,,0,653,1,1000,0,8,25,0,0,100,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,652,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,"volley of spikes","spike",0,,,0,671,0,1000,0,5,16,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,"drops","drops",0,,,0,676,1,0,0,4,20,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,677,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,"breathes a greenish cloud","green",0,,,0,684,0,1000,0,150,150,0,2,100,12,20,4,0,0,0,0,0,0,0,0,0,0,0,0,87,150,2,5,7,10,36,5,70,-5,115,88,144,0,0,0,0,0,0,0
323,"diseased","disea",0,,,0,693,0,0,0,1,1,0,0,100,8,30,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,0,115,692,144,0,0,0,0,0,0,0,0,0,0,0,0,0
324,"power punch","power",0,,,0,713,1,0,0,10,25,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,"spits acid","spit",0,,,0,726,0,1000,0,12,40,0,0,100,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,"cloud of reddish vapour","vapor",0,,,0,729,0,1000,0,4,16,0,0,100,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,"paralyzed","para",0,,,0,732,1,0,0,1,1,3,0,100,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,71,100,101,730,115,731,108,0,144,0,0,0,0,0,0,0,0,0,0,0
328,"gazes","gaze",0,,,0,735,0,1000,0,25,25,3,0,100,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,71,0,101,8489,115,8538,144,0,0,0,0,0,0,0,0,0,0,0,0,0
329,"thin tendrils","thin",0,,,0,740,0,1000,0,1,1,3,0,100,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,-10,106,-5,115,739,144,0,0,0,0,0,0,0,0,0,0,0
330,"violet fluid","fluid",0,,,0,742,0,1000,0,5,5,0,0,100,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,0,22,-8,2,-10,115,741,144,0,0,0,0,0,0,0,0,0
331,"mermex poison","merm",0,,,0,743,1,0,0,-5,-5,1,0,100,8,60,6,0,0,0,0,0,0,0,0,0,0,0,0,44,-5,46,-5,48,-5,19,1,115,744,144,0,1,1,0,0,0,0,0,0
332,"sunbolt wand","sunb",0,,,0,754,1,1000,0,25,55,0,0,100,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,"skull wand","skull",0,,,1,759,0,1000,0,239,239,3,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,239,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,"vacuum","vacuu",0,,,0,762,0,0,0,0,0,3,0,100,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,148,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"fall","fall",0,,,0,764,1,0,0,5,15,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,2,140,1123,144,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"fall","fall",0,,,0,764,0,0,0,5,15,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,2,140,1306,144,0,0,0,0,0,0,0,0,0,0,0,0,0
337,"pool","pool",0,,,0,769,0,0,0,0,0,3,0,100,1,40,4,0,0,0,0,0,0,0,0,0,0,0,0,22,-5,70,-5,77,-5,2,-5,123,200,20,50,21,5,120,770,115,771,144,0
338,"fall","fall",0,,,0,764,0,0,0,5,15,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,2,140,1617,144,0,0,0,0,0,0,0,0,0,0,0,0,0
339,"violet fluid mist","mist",0,,,0,777,0,1000,0,5,5,0,0,100,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,-8,2,-5,107,1,115,741,144,0,0,0,0,0,0,0,0,0
340,"area entrap","area",0,,,0,778,0,500,0,1,1,3,0,100,12,10,4,0,0,0,0,0,0,0,0,0,0,0,0,74,0,106,-5,2,-10,115,739,144,0,0,0,0,0,0,0,0,0,0,0
341,"green beam","beam",0,,,0,785,1,1000,0,32,60,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,120,784,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,"vampiric hits","vamp",0,,,0,786,1,0,0,1,6,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,"tentacles","tent",0,,,0,790,1,0,0,15,30,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,2,140,2367,144,0,0,0,0,0,0,0,0,0,0,0,0,0
344,"tentacles","tent",0,,,0,790,1,0,0,15,30,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,2,140,2366,144,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"frenzy","fren",15,"This spell puts the target into a battle frenzy,","increasing all attack power, but lowering defense.",1,812,1,0,18,0,0,3,1,-25,2,1,4,0,1,1,30,6,1,6,1,1,2,0,0,4,0,58,0,34,-5,2,-5,122,801,122,346,22,0,120,810,115,811,7,50
346,"mass frenzy","mfre",20,"This spell puts your party into a battle frenzy,","increasing attack power, but lowering defense.",1,813,1,0,45,0,0,3,1,-40,13,10,4,0,1,3,40,8,1,8,1,2,1,0,0,4,0,58,0,34,-5,7,50,2,-5,122,345,122,801,115,811,120,814,22,0
347,"righteousness","rite",15,"Increases your combat power and heals you slowly","throughout its duration.",0,817,1,0,24,6,6,3,1,-25,2,40,4,0,2,3,0,0,0,0,0,0,0,0,0,22,6,4,1,18,1,120,815,115,816,111,0,122,304,122,816,122,1315,0,0
348,"blood ritual","blud",15,"This unholy spell summons the power of the Blood","God to make you strong and heal you.",0,818,1,0,24,6,6,3,1,-25,2,40,4,0,2,3,0,0,0,0,0,0,0,0,0,22,6,4,1,18,1,98,0,120,819,115,820,0,0,0,0,0,0,0,0
349,"regeneration","rgen",15,"This powerful spell concentrates the healing power","of nature to constantly regenerate your wounds.",1,821,0,0,12,2,4,3,1,-25,2,10,4,0,3,2,40,10,1,20,1,0,0,0,0,18,0,120,822,115,823,122,1012,0,349,0,0,0,0,0,0,0,0,0,0
350,"way of the troll","trol",16,"This power invoked the regeneration power of the","Troll, healing you greatly over time!",0,824,0,0,5,3,3,3,0,100,1,10,4,0,5,0,30,15,1,0,0,0,0,0,0,18,0,115,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"whip entangle","whip",0,,,0,828,1,0,0,-5,-5,0,0,100,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,106,-5,2,-5,115,827,144,0,0,0,0,0,0,0,0,0,0,0,0,0
352,"beat up","beat",0,,,0,53,0,0,0,5,15,3,0,100,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,831,141,1,140,1076,144,0,0,0,0,0,0,0,0,0,0,0
353,"sharp blade","sharp",0,,,0,842,0,0,0,2,2,0,0,100,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,-10,106,-3,115,838,144,0,0,0,0,0,0,0,0,0,0,0
354,"poison blade","pois",0,,,0,878,1,0,0,0,10,0,0,100,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,"pale green lichen","green",0,,,0,894,0,0,0,5,10,3,1,100,1,300,4,0,0,0,0,0,0,0,0,0,0,0,0,70,0,71,8,144,0,101,895,115,896,0,0,0,0,0,0,0,0,0,0
356,"black cauldron","black",0,,,0,900,0,1000,0,9999,9999,3,1,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,9999,122,143,122,210,122,294,122,323,120,901,0,0,0,0,0,0
357,"fiery spark","fiery",0,,,0,904,0,0,0,2,10,0,0,100,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,"vampiric bite","vamp",0,,,0,908,1,0,0,3,10,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,"breathes burning steam","breat",0,,,0,923,0,0,0,10,30,0,0,100,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,"freezes","free",0,,,0,916,0,0,0,10,25,3,0,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,"drain life","drain",0,,,0,919,1,0,0,2,12,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,"leprosy","lepro",0,,,0,922,1,0,0,10,10,3,2,100,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,0,115,920,120,921,0,0,0,0,0,0,0,0,0,0,0,0
363,"summon silver skull","skull",0,"(for hag)",,0,926,1,0,0,1,1,3,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,239,120,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"flame dart","dart",0,"(for imp)",,0,305,0,0,0,10,20,0,0,100,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,"bee poison","bee",0,,,0,8449,0,0,0,12,20,0,0,100,8,100,4,0,0,0,0,0,0,0,0,0,0,0,0,115,8575,144,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"roots","root",0,,,0,942,0,0,0,8,30,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,"magic bolt","bolt",0,"(for faeries)",,0,305,0,0,0,6,30,0,0,100,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,"gold dust","gold",0,"(leprechaun's curse)",,0,945,0,0,0,-15,-15,3,0,100,8,60,4,0,0,0,0,0,0,0,0,0,0,0,0,22,-20,70,-15,115,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,"bee honey","bee",0,,,0,66,0,0,0,4,4,3,0,100,1,50,4,0,0,0,0,0,0,0,0,0,0,0,0,58,0,115,951,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"green fruit","green",0,,,0,955,0,0,0,8,20,3,0,100,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
