"number","part","linkTo","data"
629,0,0,"jump west:message 1233:testskill agility -10 630:teleport 747 8:message 1235
leap west:message 1233:testskill agility -10 630:teleport 747 8:message 1235
jump east:message 1234:testskill agility -10 632:teleport 1447 1:cast 437
leap east:message 1234:testskill agility -10 632:teleport 1447 1:cast 437
Ƚ'7532"
630,0,0,"message 1236:teleport 1201 1:cast 436
Ƚ'7532"
631,0,0,"jump east:message 1234:testskill agility -10 630:teleport 758 8:message 1235
leap east:message 1234:testskill agility -10 630:teleport 758 8:message 1235
Ƚ'7532"
632,0,0,"message 1236:teleport 1223 1:cast 436
Ƚ'7532"
633,0,0,"jump west:message 1233:testskill agility -10 634:teleport 785 8:message 1235
leap west:message 1233:testskill agility -10 634:teleport 785 8:message 1235
Ƚ'7532"
634,0,0,"message 1236:teleport 1207 1:cast 436
Ƚ'7532"
635,0,0,"jump east:message 1234:testskill agility -10 634:teleport 749 8:message 1235
leap east:message 1234:testskill agility -10 634:teleport 749 8:message 1235
Ƚ'7532"
636,0,0,"jump west:message 1233:testskill agility -10 637:teleport 789 8:message 1235
leap west:message 1233:testskill agility -10 637:teleport 789 8:message 1235
Ƚ'7532"
637,0,0,"message 1236:teleport 1210 1:cast 436
Ƚ'7532"
638,0,0,"jump east:message 1234:testskill agility -10 637:teleport 799 8:message 1235
leap east:message 1234:testskill agility -10 637:teleport 799 8:message 1235
Ƚ'7532"
639,0,0,"jump west:message 1233:testskill agility -10 640:teleport 801 8:message 1235
leap west:message 1233:testskill agility -10 640:teleport 801 8:message 1235
Ƚ'7532"
640,0,0,"message 1236:teleport 1216 1:cast 436
Ƚ'7532"
641,0,0,"jump east:message 1234:testskill agility -10 640:teleport 802 8:message 1235
leap east:message 1234:testskill agility -10 640:teleport 802 8:message 1235
Ƚ'7532"
642,0,0,"


Ƚ'7532"
666,0,0,"Bleh!
Ƚ'7532"
700,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 669 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 669 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 669 3:message 1221
Ƚ'7532"
701,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 681 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 681 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 681 3:message 1221
Ƚ'7532"
702,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 740 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 740 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 740 3:message 1221
Ƚ'7532"
703,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 776 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 776 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 776 3:message 1221
Ƚ'7532"
704,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 699 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 699 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 699 3:message 1221
Ƚ'7532"
705,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 756 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 756 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 756 3:message 1221
Ƚ'7532"
706,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 762 3:message 1221
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 762 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 762 3:message 1221
Ƚ'7532"
707,0,0,"lift portcullis:message 1359:testskill strength 20 708:remoteaction 909 1360 0 3
move portcullis:message 1359:testskill strength 20 708:remoteaction 909 1360 0 3
lift gate:message 1359:testskill strength 20 708:remoteaction 909 1360 0 3
move gate:message 1359:testskill strength 20 708:remoteaction 909 1360 0 3
Ƚ'7532"
708,0,0,"cast 451
Ƚ'7532"
709,0,0,"solve puzzle:message 1362:testskill intellect 20 710:message 1363:testskill wisdom 20 710:message 1364:remoteaction 951 1365 0 3
Ƚ'7532"
710,0,0,"cast 452
Ƚ'7532"
711,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 782 3:message 1221 
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 782 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 782 3:message 1221

Ƚ'7532"
712,0,0,"go vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 783 3:message 1221 
enter vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 783 3:message 1221
go swirling vortex:adddelay 5:minlevel 20 1220:message 1205:teleport 783 3:message 1221Ƚ'7532"
800,0,0,"giveitem 810:teleport 224 1
Ƚ'7532"
801,0,802,"heh:999
Ƚ'7532"
802,0,0,"The %s hisses at you malevolently!
Ƚ'7532"
803,0,804,"heh:999
Ƚ'7532"
804,0,0,"The %s gazes at you in hatred, its tentacles waving about rapidly.
Ƚ'7532"
805,0,806,"heh:999
Ƚ'7532"
806,0,0,"The %s looks at you in disgust, saying ""Pathetic scum, prepare to meet your
heathen god.""
Ƚ'7532"
807,0,808,"heh:999
Ƚ'7532"
808,0,0,"The %s looks you up and down with interest, and continues on his way.
Ƚ'7532"
809,0,810,"dark-elf:811
plots:812
slaves:813
orb:814
passage:816
Ƚ'7532"
810,0,0,"[0;32mThe gnome commander looks you over curiously, and inquires: ""Now what would
such an odd-looking and well-equipped person like you be doing in these parts?
We seldom see anyone down here except for the occasional verminous creature,
and the odd [0;1;32mdark-elf [0;32mscout which we dispose of in the usual manner.""

[0mWith that, a broad, nasty grin brightens his face.
Ƚ'7532"
811,0,0,"[0mWhen you mention the dark-elves, a scowl darkens his features, and he spits in
disgust on the ground.

[0;32m""Nasty buggers,"" he says, ""the lot of them. Oh, yea, some of them claim to have
 divorced themselves from the evil, xenophobic path that the dark-elven
 kingdoms tread, but deep inside they all have the same seed of cruel tyranny.
 Indeed, the Queen of the dark-elves of this region constantly [0;1;32mplots [0;32msome form
 of deviousness or another... though of late, I have come to suspect something
 dreadful and of great peril to all non-dark-elf races is being planned. A
 great number of [0;1;32mslaves[0;32m have been captured by slavers in the employ of the
 dark-elves, and the regular patrol of the dark-elves themselves have increased
 to such a number that it is dangerous to venture forth.""
Ƚ'7532"
812,0,0,"[0;32m""Well, my scouts have reported the abundance of [0;1;32mslaves [0;32mbeing led off into the
 dark-elf city. It is only rumour, but hellish experiments have been hinted at,
 on a scale never before seen. I have also heard that they have enlisted the
 aid of some other beings, but who or what their purpose is I cannot say.""
Ƚ'7532"
813,0,0,"[0;32m""The slaves are being led, gagged and blindfolded, into the dark-elf city.
 There is only one entrance to their city, and it is well-guarded and hidden
 by a passage that only they can open.""

[0mHe grins slyly, and continues:

[0;32m""That is, until recently. My engineers and enchanters have been busying
 themselves of late in contruction of devices that can be used to open this
 secret [0;1;32mpassage[0;32m. Fortunately so, it seems! The device is simple, consisting of
 a smooth bloodstone [0;1;32morb [0;32menchanted in a way to make it resonate to the same
 frequency as the enchantment concealing the passage. In layman's terms, it is
 a form of skeleton key for their magical lock.""
Ƚ'7532"
814,0,815,"[0mThe gnome commander pulls out a large, smooth orb of bloodstone, and rolls it
around in his hand.

[0;32m""It is simple to use, all you need to do is be in the right place, and rub the
 orb with the intent of revealing the concealed [0;1;32mpassage[0;32m. Then, the orb will do
 its work and trigger the opening. Unfortunately they can only be used once, as
 the spell is complex and the orb is consumed in the casting. It is also
 extremely heavy.""
[0m
[40m
Ƚ'7532"
815,0,0,"giveitem 807:message 1367
Ƚ'7532"
816,0,0,"[0;32m""It is actually not that difficult to find the entrance... but finding the
 entrance was not a concern of the dark-elves. It is impossible to reveal
 without either their magics or our special orb, so until recently is was a
 completely impenetrable entrance. There is an underground lake to the west of
 here, and imbedded in the wall of the cavern on the south shore of the lake is
 a boulder. Concealed behind this is the secret passage.""
Ƚ'7532"
817,0,818,"heh:999
Ƚ'7532"
818,0,0,"The high priestess shrieks in rage, and curses you in the name of her dark goddess!
Ƚ'7532"
819,0,820,"heh:999
Ƚ'7532"
820,0,0,"The weaponsmaster spits at your feet in disgust, and moves into a fighting stance.
Ƚ'7532"
821,0,822,"heh:999
Ƚ'7532"
822,0,0,"The Queen of these dark-elves screams: ""Intruders! Infidels! Your impertinence will 
be met by the searing fires and the cold steel of my bodyguards! When you are dead,
we will defile your bodies and let them rot like the offal you are!""
Ƚ'7532"
823,0,824,"heh:999
Ƚ'7532"
824,0,0,"The master torturer grins broadly at your approach, seeing another opportunity for
a long session of bone-breaking, mind-bending torture.
Ƚ'7532"
825,0,826,"heh:999
Ƚ'7532"
826,0,0,"The dark-elf archmage eyes you with cold contempt, not even deigning to waste 
emotion on what he is sure will soon be charred flesh.
Ƚ'7532"
827,0,828,"heh:999
Ƚ'7532"
828,0,0,"The captain of the guard hefts his dark blade threateningly, and utters a blood-
curdling battle cry as he charges you!
Ƚ'7532"
829,0,830,"heh:999
Ƚ'7532"
830,0,0,"The prisoner does not even react at your words.
Ƚ'7532"
831,0,832,"heh:999
Ƚ'7532"
832,0,0,"The slave lord laughs callously at you, saying ""Pathetic fool, submit now and I
may only toss you in the dungeon with the rest of those poor saps destined for
the dark-elf city!""
Ƚ'7532"
833,0,834,"heh:999
Ƚ'7532"
834,0,0,"The wererat hisses at you through sharp, yellowed teeth, saying ""Nasssty intruder,
food for worms soon will be.""
Ƚ'7532"
835,0,836,"heh:999
Ƚ'7532"
836,0,0,"The fallen angel's look of otherworldy contempt is enough to kill most mortals. 
Pure venomous hate washes out from it in waves, making the air ripple with heat
and energy.
Ƚ'7532"
837,0,0,"100 The fallen angel exclaims triumphantly, ""Your soul is mine, mortal!""
Ƚ'7532"
838,0,839,"help:840
brooch:841
orb:844
Ƚ'7532"
839,0,0,"[0;32mThe grizzled dark-elf grins slyly at you, an uncanny glint of intelligence in
his eye betraying his ""old-man"" routine. With a healthy, powerful voice he
says, ""What a remarkable interlude in my over-dull morning. It has been quite
some time since I have seen outlanders in the City... at least, ones not bound
and gagged, on their way to torture or worse.""

[0mHe smirks, and looks you up and down in an appraising manner.

[0;32m""In fact,"" he continues, ""since you have come this far, you must be at least
 marginally skilled. Or exceptionally lucky, but luck can only bring you so
 far... either way, you may be of some use to me. If you would be so inclined.
 It is possible that our interests may co-incide? Obviously, you are here to
 put an end to our damnably glorious Queen. Or at the very least, to ruin her
 ineffective plotting.""

[0mHe spits on the ground in disgust.

[0;32m""Indeed, I have no love for, or loyalty to the Queen. If your plans include her
 or any thwarting of her plan, I may be able to [0;1;32mhelp [0;32myou.""
Ƚ'7532"
840,0,0,"[0mThe dark-elf looks around furtively, and leans close to whisper:

[0;32m""There is no way you will be able to enter the Queen's fortress without my aid.
 It is simply too well-guarded, and the entrance is impenetrable. Luckily for
 you, however, I have been around a long time, and have kept my ears and eyes
 open. A great many secrets can be gleaned from simply listening and watching.""

[0mHe licks his lips, and continues with a slow smile:

[0;32m""The first step is to slay the captain of the guard. He carries an opal [0;1;32mbrooch
 [0;32mI covet, and if you return this item to me, I will aid you in your mission.""
Ƚ'7532"
841,0,842,"[0mThe dark-elf holds his hand out expectantly.
[40m
Ƚ'7532"
842,0,0,"takeitem 811 1368:giveitem 808:text 843
Ƚ'7532"
843,0,0,"[0mThe shopkeeper turns the opal brooch over in his hands, caressing its dark,
glittering surface. Then, with a quick motion, he tucks it away into his vest.
Once more reaching into his vest, he pulls out a small object which he slides
into your palm.

[0;32m""This is your reward for obtaining the brooch for me. It is the key to the
 archmage's tower.""

[0mWith a devilish grin, he steps back and continues:

[0;32m""Do not be angry! I did not send you off to slay the captain of the guard for
 no reason... though the brooch did have a great part to play in that decision.
 The archmage has a power that allows him to scry the integrity of the magical
 seals surrounding the castle. It would be impossible to sneak in, even if the
 proper passwords and keys were to be had, if he was watching. So, logically,
 your next mission is to deal with him, in whatever manner you see fit-- as
 long as he is incapacitated. As a token of the success of your mission, you
 will return to me his scrying [0;1;32morb[0;32m, at which point I will give you the keys
 you need to enter the fortress.""
Ƚ'7532"
844,0,845,"[0mThe dark-elf holds his hand out expectantly.
[40m
Ƚ'7532"
845,0,0,"takeitem 810 1369:giveitem 809:giveitem 820:text 846
Ƚ'7532"
846,0,0,"[0mThe sleazy shopkeeper grins in appreciation as you hand over the archmage's
orb. In a blink he tucks it away, turns to you and says:

[0;32m""Well done. I am pleased with your accomplishments, and your continued efforts
 may result in us both being rewarded. As I promised, I will now give you what
 you need to meet, and destroy the Queen.""

[0mHe pulls out two keys, one shiny and ornate, the other rusted and covered in
a blackish slime. Giving them to you, he says:

[0;32m""The adamantite key is a duplicate of the Queen's own, and opens the door to
 her guard room. Do not ask how I obtained this copy. The other key will open
 an underwater grate, at the bottom of the moat at the rear of the castle. This
 is the only way you will be able to enter-- I do not have the resources to
 open the front way. You must dive into the moat in front of the drawbridge,
 swim around to the back of the castle, and from there infiltrate to the
 fortress heart up through the dungeon. This will not be easy-- bizarre
 creatures live in the moat, and you will be attacked on sight in the castle.
 Also, the throne room is heavily guarded, and a frontal assault will be near-
 suicidal without an incredible party of attackers. Nonetheless, this is your
 only option. Now, our alliance is at an end. I have what I want, and so do
 you-- now begone and finish what you came here for.""
Ƚ'7532"
847,0,848,"slaves:849
dark-elves:850
keep:851
Ƚ'7532"
848,0,0,"[0mThe slaver spits up blood, and backs away fearfully. Bawling like a child, he
says:

[0;32m""Please don't kill me! I'll tell you anything you want! Did the [0;1;32mdark-elves
 [0;32msend you to punish me for failing to bring in enough [0;1;32mslaves[0;32m? Spare me!""
Ƚ'7532"
849,0,0,"""Of course slaves, what do you think slavers do? No, don't hit me! I'll tell
 you anything you need to know. The [0;1;32mdark-elves [0;32mhave asked us to capture a huge
 amount of slaves for some covert undertaking. We don't even know what they're
 for, they keep everyone in the dark as to their plans.
Ƚ'7532"
850,0,0,"""A few weeks back, a dark-elf suddenly appeared at our [0;1;32mkeep[0;32m. He said that his
 Queen required a large number of [0;1;32mslaves [0;32mof diverse races for use in some sort
 of project. Something in his tone said that we didn't have much choice in the
 matter, but we didn't care anyway as he had a massive bag of gold for just
 hearing him out. At first supplying the demand was easy-- there are always
 weak and unwary fools ripe for picking. But their demand didn't decrease, and
 lately it has been harder and harder to find people to take.""
Ƚ'7532"
851,0,852,"[0mThe bleeding slaver looks around furtively, and hurriedly whispers:

[0;32m""Our keep is cleverly concealed in the Dragon's Teeth hills. What better place
 to hide a fort than in the hills themselves! Anyone climbing them gets ripped
 to shreds on their knifelike crags, and no-one can see it as it's nestled up
 out of sight. Even navigating in the Dragon's Teeth is a nasty proposition,
 what with its mazelike paths and all the hostile creatures.""

[0mNoticing your impatience, he quickly continues:

[0;32m""Here are the directions to the keep. You follow the road through the Dragon's
 Teeth west of Silvermere until you hit the fork with the sign. Take the south
 fork, and follow it south and west until it starts to turn to the southeast.
 DON'T go southeast. Follow the path there to the south and west. Don't follow
 any paths that turn east. The path will go south, then west and north, curving
 up like a U. Eventually there will be another junction of paths, where one
 keeps going north and one turns to the southwest. Follow that one for a little
 while until it meets another path going to the southwest. At that junction,
 hold up this talisman and the secret entrance will be revealed to you.""

[0mHe holds out an amber disk, and his long speech done, he draws back fearfully.
Ƚ'7532"
852,0,0,"giveitem 815
Ƚ'7532"
853,0,0,"An exploration party dispatched to the abandoned island in
the middle of the river has discovered a forgotten ruin of
some sort. Speak with the boatman at the docks for more
information.

The bishop requires the aid of anyone willing to find the stolen
golden chalice, for those of good heart report to him at
your convenience.

It has recently come to our attention that a band of slavers
have infiltrated the slums, and have been kidnapping citizens
at an alarming rate. Caution is advised, and while our noble
guards have stepped up their patrols, an open call for adventurers
has been issued: any aid would be appreciated.

The barricade at the end of the darkwood forest has been cleared,
thanks to the hard efforts of Silvermere! Soon work will begin on
removing the avalanche blocking the western road!

A Call to Arms! Reports indicate an orcish horde is massing in
the caves of the forest, any adventurers willing to bring peace
to the forest please speak to the guildmaster.
Ƚ'7532"
854,0,0,"go portal:roomitem 839 1373:minlevel 40 1374:message 1375:teleport 992 8:message 1376 
enter portal:roomitem 839 1373:minlevel 40 1374:message 1375:teleport 992 8:message 1376 
go nightblack portal:roomitem 839 1373:minlevel 40 1374:message 1375:teleport 992 8:message 1376 
enter nightblack portal:roomitem 839 1373:minlevel 40 1374:message 1375:teleport 992 8:message 1376
Ƚ'7532"
855,0,0,"touch orb:nomonsters 1378:remoteaction 1040 1379 0 8
move orb:nomonsters 1378:remoteaction 1040 1379 0 8
push orb:nomonsters 1378:remoteaction 1040 1379 0 8
rub orb:nomonsters 1378:remoteaction 1040 1379 0 8
Ƚ'7532"
856,0,0,"[0mThis ripped piece of parchment is inscribed with an fine, spidery hand:

[0;36mThe path to the plague site is long and arduous, and a detailed description of
the way would take many pages. In essence, you must travel to the upper level
of the caverns. At the southern end of the upper level's passages is a long
tunnel which continues to the southeast for quite some ways. Upon reaching the
southeastern-most dead-end, you must rub the bracelet you have been given. This
will reveal the concealed entrance to the test site.
Ƚ'7532"
857,0,0,"push button:nomonsters 1380:remoteaction 705 1381 0 8
move button:nomonsters 1380:remoteaction 705 1381 0 8
Ƚ'7532"
858,0,0,"destroy apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:failability 132:roomitem 819:giveability 132 2:message 1385:message 1386:addability 34 1:addexp 5000000:clearitem 819
attack apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:failability 132:roomitem 819:giveability 132 2:message 1385:message 1386:addability 34 1:addexp 5000000:clearitem 819
break apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:failability 132:roomitem 819:giveability 132 2:message 1385:message 1386:addability 34 1:addexp 5000000:clearitem 819
destroy apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:checkability 132 1:testability 132 1:roomitem 819:giveability 132 2:message 1385:message 1386:addexp 4850000:message 3293:message 3295:clearitem 819
attack apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:checkability 132 1:testability 132 1:roomitem 819:giveability 132 2:message 1385:message 1386:addexp 4850000:message 3293:message 3295:clearitem 819
break apparatus:nomonsters 1382:minlevel 25 1382:message 1384:message 1383:checkability 132 1:testability 132 1:roomitem 819:giveability 132 2:message 1385:message 1386:addexp 4850000:message 3293:message 3295:clearitem 819
Ƚ'7532"
859,0,860,"poop:666
Ƚ'7532"
860,0,0,"[0mThe Timelord greets you warmly, saying:

[0;32m""Welcome, young one. It has been quite some time since I have had the pleasure
 of a mortal's company. Five hundred years, in fact-- ever since the end of
 the last Great War. The lieutenants of the Host of Darkness, those that you
 would name fallen angels, captured me in a desperate, last-ditch effort as the
 forces of light were already proclaiming their victory. In their blindness
 they failed to see the dark forces overwhelm my sanctuary and capture me. The
 power of their confinement means that even now, it is impossible for me to
 leave this place. My life force is intertwined with the energy sustaining the
 enchantment, and if it were to end, so would I. Even though I am confined, I
 can still be useful to you, if you need someone to train you.""
Ƚ'7532"
861,0,862,"wererats:864
war:865
Ƚ'7532"
862,0,0,"[0mThe ghost knight wails mournfully, and gazes into your eyes. A hollow, echoing
voice seems to speak to you from inside your head:

[0;32m<Long has it been since a mortal has visited me, in this once-proud ruin. The
 [0;1;32mwererats [0;32minfesting the keep wisely avoid me-- even though I am dead and bound
 to this room, I am still able to fight. It has been over five hundred years
 since I have talked with a mortal. Once, I was the commander of this keep-- a
 staging ground for the forces of light. It was overrun partway through the
 Great [0;1;32mWar[0;32m, when the host of darkness was on the march through this area, on
 their way to Silvermere. We were quickly defeated, even though our forces were
 similar in size, as the incarnation of the Dark One was leading them. He was
 unstoppable, wielding dark magics far beyond the power of any mere mortal.>
Ƚ'7532"
863,0,0,"touch statue:summon 347
move statue:summon 347
Ƚ'7532"
864,0,0,"[0mA look of disgust comes over the ghost's features.

[0;32m<Verminous scum. Under the command of the queen of the dark-elves, who in turn
 is but a puppet of the Dark One. They are here crafting a plague of horrifying
 power, designed to slay all the mannish races, and their allies-- humans,
 elves, dwarves, gnomes, kang... all will be slain, leaving the rest of the
 races of the world free to be preyed upon by the surviving evil forces.
 Fortunately for the denizens of light, they have not yet succeeded in
 formulating the plague, though they have crafted other, less specific diseases
 in their attempts. The wererats are nearly immune to plagues and are 
 completely immune to poisons, making them ideal allies in this project. They
 have constructed an unholy contraption, which they pump full of concoctions,
 continually altering the formula and testing it on a host of slaves they 
 have in cells below for just such purposes. Needless to say, the survival
 rate is very low. These heartless butchers need to be eradicated, their 
 severed limbs strewn about the four corners of this realm! Their machine
 must be stopped-- you must destroy the apparatus!>
Ƚ'7532"
865,0,0,"[0mThe ghost's features display a sad smile.

[0;32m<Though we were overrun, all of Silvermere knows how the Great War ended. The
 Dark One underestimated the powers secretly assembled in Silvermere-- his
 armies had attacked fortresses of the light all over the realm, and many had
 fallen-- but the survivors all fled to Silvermere. And many forces, seemingly
 routed and slain, had actually made themselves look defeated only to regroup
 and join the main force. Also, all the great heroes had long since traveled to
 Silvermere in stealth, not revealing their identities until the final battle.
 In this way, the incarnation of the Dark One and his legion of evil were
 struck down. The countless graveyards and tombs that sprung up after the war
 are a testament to the Dark One's cunning, however-- even with the surprise he
 received, he managed to slay many of the strongest heroes and their forces.
 Soon, I fear, he will show himself once again, his power bloated from the
 countless sacrifices his minions have performed over the last five hundred
 years. And judging from the slothful, unattentive state of the armies of the
 light in current years, we have much to fear.>
Ƚ'7532"
866,0,0,"go vortex:minlevel 40 1220:message 1205:teleport 978 8:message 1221
enter vortex:minlevel 40 1220:message 1205:teleport 978 8:message 1221
go swirling vortex:minlevel 40 1220:message 1205:teleport 978 8:message 1221
Ƚ'7532"
867,0,0,"go vortex:adddelay 5:minlevel 40 1220:message 1205:teleport 731 3:message 1221
enter vortex:adddelay 5:minlevel 40 1220:message 1205:teleport 731 3:message 1221
go swirling vortex:adddelay 5:minlevel 40 1220:message 1205:teleport 731 3:message 1221
Ƚ'7532"
868,0,0,"message 1421:message 1422:random 871:random 871:random 874

Ƚ'7532"
869,0,0,"!!!

Ƚ'7532"
870,0,0,"!!!

Ƚ'7532"
871,0,0,"8:message 1423:giveitem 881
16:message 1423:giveitem 882
24:message 1423:giveitem 883
32:message 1423:giveitem 884
41:message 1423:giveitem 885
50:message 1423:giveitem 886
55:message 1424:giveitem 887
60:message 1424:giveitem 888
65:message 1424:giveitem 889
70:message 1424:giveitem 890
75:message 1424:giveitem 891
82:message 1425:giveitem 892
89:message 1425:giveitem 893
95:message 1425:giveitem 894
96:message 1426:giveitem 895
97:message 1426:giveitem 896
99:message 1426:giveitem 897
100:message 1426:giveitem 898

Ƚ'7532"
872,0,0,"!!!

Ƚ'7532"
873,0,0,"!!!

Ƚ'7532"
874,0,0,"9:message 1429:giveitem 223
14:message 1429:giveitem 269
15:message 1429:giveitem 464
16:message 1429:giveitem 467
17:message 1429:giveitem 471
18:message 1429:giveitem 469
19:message 1429:giveitem 465
20:message 1429:giveitem 878
22:message 1430:giveitem 407
23:message 1430:giveitem 433
24:message 1430:giveitem 611
25:message 1430:giveitem 406
26:message 1430:giveitem 408
27:message 1430:giveitem 424
29:message 1433:giveitem 46
31:message 1433:giveitem 404
32:message 1433:giveitem 402
33:message 1433:giveitem 420
34:message 1433:giveitem 422
35:message 1433:giveitem 445
40:message 1437:giveitem 410
45:message 1437:giveitem 414
50:message 1437:giveitem 846
55:message 1437:giveitem 521
57:message 1437:giveitem 411
59:message 1437:giveitem 847
61:message 1437:giveitem 362
63:message 1437:giveitem 418
65:message 1433:giveitem 848
70:message 1434:giveitem 295
75:message 1434:giveitem 864
77:message 1434:giveitem 361
79:message 1434:giveitem 116
80:message 1434:giveitem 868
81:message 1434:giveitem 869
86:message 1438:giveitem 863
91:message 1438:giveitem 459
93:message 1438:giveitem 865
95:message 1438:giveitem 866
97:message 1438:giveitem 867
98:message 1438:giveitem 461
99:message 1438:giveitem 870
100:message 1438:giveitem 871

Ƚ'7532"
875,0,0,"message 1432:message 1422:random 898:random 898:random 898:random 874:random 874:random 874

Ƚ'7532"
876,0,0,"random 878

Ƚ'7532"
877,0,0,"!!!

Ƚ'7532"
878,0,0,"6:message 1429:giveitem 223
9:message 1429:giveitem 269
10:message 1429:giveitem 464
11:message 1429:giveitem 467
12:message 1429:giveitem 471
17:message 1429:giveitem 469
20:message 1429:giveitem 465
22:message 1429:giveitem 878
27:message 1430:giveitem 407
29:message 1430:giveitem 433
30:message 1430:giveitem 611
31:message 1430:giveitem 406
32:message 1430:giveitem 408
33:message 1430:giveitem 424
37:message 1433:giveitem 46
40:message 1433:giveitem 404
41:message 1433:giveitem 402
42:message 1433:giveitem 420
43:message 1433:giveitem 422
44:message 1433:giveitem 445
48:message 1437:giveitem 410
51:message 1437:giveitem 414
54:message 1437:giveitem 846
57:message 1437:giveitem 521
59:message 1437:giveitem 411
61:message 1437:giveitem 847
63:message 1437:giveitem 362
64:message 1437:giveitem 418
65:message 1433:giveitem 848
69:message 1434:giveitem 295
73:message 1434:giveitem 864
76:message 1434:giveitem 361
79:message 1434:giveitem 116
81:message 1434:giveitem 868
83:message 1434:giveitem 869
87:message 1438:giveitem 863
91:message 1438:giveitem 459
93:message 1438:giveitem 865
95:message 1438:giveitem 866
97:message 1438:giveitem 867
98:message 1438:giveitem 461
99:message 1438:giveitem 870
100:message 1438:giveitem 871

Ƚ'7532"
879,0,0,"message 1436:message 1422:random 898:random 898:random 898:random 874:random 874:random 874:random 898:random 874:random 874

Ƚ'7532"
880,0,0,"random 882
	
Ƚ'7532"
881,0,0,"!!!

Ƚ'7532"
882,0,0,"6:message 1429:giveitem 223
9:message 1429:giveitem 269
10:message 1429:giveitem 464
11:message 1429:giveitem 467
12:message 1429:giveitem 471
17:message 1429:giveitem 469
20:message 1429:giveitem 465
22:message 1429:giveitem 878
27:message 1430:giveitem 407
29:message 1430:giveitem 433
30:message 1430:giveitem 611
31:message 1430:giveitem 406
32:message 1430:giveitem 408
33:message 1430:giveitem 424
37:message 1433:giveitem 46
40:message 1433:giveitem 404
41:message 1433:giveitem 402
42:message 1433:giveitem 420
43:message 1433:giveitem 422
44:message 1433:giveitem 445
48:message 1437:giveitem 410
51:message 1437:giveitem 414
54:message 1437:giveitem 846
57:message 1437:giveitem 521
59:message 1437:giveitem 411
61:message 1437:giveitem 847
63:message 1437:giveitem 362
64:message 1437:giveitem 418
65:message 1433:giveitem 848
69:message 1434:giveitem 295
73:message 1434:giveitem 864
76:message 1434:giveitem 361
79:message 1434:giveitem 116
81:message 1434:giveitem 868
83:message 1434:giveitem 869
87:message 1438:giveitem 863
91:message 1438:giveitem 459
93:message 1438:giveitem 865
95:message 1438:giveitem 866
97:message 1438:giveitem 867
98:message 1438:giveitem 461
99:message 1438:giveitem 870
100:message 1438:giveitem 871

Ƚ'7532"
883,0,0,"message 1439:message 1422:random 886:random 886:random 886:random 889:random 889

Ƚ'7532"
884,0,0,"!!!

Ƚ'7532"
885,0,0,"!!!

Ƚ'7532"
