"Number","Name","Game Limit","Desc1","Desc2","Desc3","Desc4","Desc5","Desc6","Weight","Type","Uses","Cost","Cost Type","Min Hit","Max Hit","AC","DR","Weapon","Armour","Worn On","Accuracy","Gettable","Req Str","Speed","Robable","Hit Msg","Miss Msg","Read Msg","Distruct Msg","Not Droppable","Destroy On Death","Retain After Uses","OpenRunic","OpenPlatinum","OpenGold","OpenSilver","OpenCopper","Class 0","Class 1","Class 2","Class 3","Class 4","Class 5","Class 6","Class 7","Class 8","Class 9","Race 0","Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7","Race 8","Race 9","Negate 0","Negate 1","Negate 2","Negate 3","Negate 4","Negate 5","Negate 6","Negate 7","Negate 8","Negate 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9","Ability 10","Ability Value 10","Ability 11","Ability Value 11","Ability 12","Ability Value 12","Ability 13","Ability Value 13","Ability 14","Ability Value 14","Ability 15","Ability Value 15","Ability 16","Ability Value 16","Ability 17","Ability Value 17","Ability 18","Ability Value 18","Ability 19","Ability Value 19"
157,"songsheet of brilliance",0,"This parchment is inscribed with the musical knowledge to","sing the magical Song of Brilliance.",,,,,10,9,1,20,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"songsheet of wisdom",0,"This parchment is inscribed with the musical knowledge to","sing the magical Song of Wisdom.",,,,,10,9,1,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"songsheet of might",0,"This parchment is inscribed with the musical knowledge to","sing the magical Song of Might.",,,,,10,9,1,25,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,"songsheet of agility",0,"This parchement is inscribed with the musical knowledge to","sing the magical Song of Agility.",,,,,10,9,1,35,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"iron ring",0,"This is a plain iron ring, polished so that it gleams","brilliantly.",,,,,1,0,-1,5,1,0,0,1,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,"copper ring",0,"This ring is made of three copper threads, meticulously","polished and lacquered, and braided together to form a band.",,,,,1,0,-1,1,2,0,0,2,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"silver ring",0,"This is a thick silver ring, heavily carved with angular","lines and designs.",,,,,2,0,-1,4,2,0,0,3,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"amethyst ring",0,"This beautiful, silver ring is set with a trio of small,","uncut, lavender-hued amethysts.",,,,,2,0,-1,10,2,0,0,5,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"golden amulet",0,"This amulet is made of heavy yellow gold, worked masterfully","into the form of a stylized sun.",,,,,18,0,-1,50,2,0,0,2,0,0,0,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"silver holy amulet",0,"This simple but beautifully-crafted amulet is worked in","the shape of a holy symbol, and is made out of blue-white","silver. It is hung upon a chain of silver links.",,,,10,0,-1,15,2,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"golden braided belt",1,"This belt is fashioned out of thick golden bands, to form","a wide braid. It is encrusted with small rubies and","diamonds, and the buckle is a large platinum star.",,,,22,0,-1,200,2,0,0,10,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,28,1,97,0,135,50,88,20,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"platinum tiara",0,"This light crown is extremely simple but classically made.","It is a single band of platinum, delicately etched and set","with a single eye-sized sapphire at the brow.",,,,8,0,-1,75,3,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,"silver bracers",0,"These engraved silver bracers are etched with ancient runes","and symbols, and are beautifully crafted.",,,,,12,0,-1,300,2,0,0,5,5,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,10,135,15,4,-2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"golden armbands",0,"This matched pair of golden armbands are made of heavy","yellow gold with the texture of honey, and are unadorned.",,,,,30,0,-1,120,2,0,0,7,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"maul",0,"This huge, two-handed mace is nearly six feet in length. It","is so massive that you have difficulty even lifting it, and","the damage it does in combat must be incredible, although it","is incredibly slow. Only the strongest can wield this weapon","with any effect.",,300,1,-1,10,2,8,25,0,0,1,0,0,-5,1,90,2600,1,8232,8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"black star key",0,"This black iron key's head is shaped like a circled","five-pointed star. You get a faint feeling of distaste when","touching it.",,,,5,7,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"scroll of cure paralysis",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,10,9,1,900,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,160,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"torch",0,"This long wooden stick is bound by stips of oil-soaked","cloth. When lit, it provides fairly good illumination.",,,,,40,6,800,0,0,2,6,5,0,0,0,0,3,1,30,1500,1,8234,8286,0,8603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100,119,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"lantern",0,"This is a small iron lantern, its glass bulb protected by","shutters. When filled with oil and lit, it provides very","good illumination.",,,,75,6,2400,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,175,0,-15,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,"bone key",0,"This small, fragile-looking key appears to be made of bone.","It is quite cold to the touch.",,,,,10,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"silvery mace",0,"This brilliant silvery mace shines with an inner light. Its","broad head is studded, and its hilt is wrapped in white","leather. A thong hangs from the base of its handle.",,,,120,1,-1,5000,2,7,14,0,0,0,0,0,3,1,45,1350,1,11,8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,116,-10,114,25,43,170,97,0,86,2,135,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"black chainmail hauberk",0,"This suit of chainmail is enameled with a flat black lacquer","finish. It sports cruel-looking spikes on the shoulder","guards and has on it a badge made in the image of a red","horned skull.",,,700,0,-1,25,2,0,0,190,45,0,7,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,34,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"black shield",0,"This heavy black iron shield is emblazoned with a red","horned skull. It is quite heavy, but is large enough to","provide good protection from attacks.",,,,350,0,-1,2,2,0,0,40,0,0,7,12,-5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"tomb door",0,"This large stone door is carved with holy images and","symbols. A large plaque in the centre is engraved with an","elaborate script, but the age of the writing is such that it","is indecipherable to you.",,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"stone door",0,"This huge stone portal is completely plain except for a","black keyhole set in the exact centre of its grey face.","Spidery runes are carved all about this hole, in a script","which you have never seen before.",,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"sarcophagus",0,"This white stone coffin is seemingly carved out of one huge","piece of rock, and is made in the likeliness of the long-","dead noble for whom it was commissioned. You can see no seam","or binding which would enable it to open.",,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"lever",0,"This simple iron lever is set in the centre of a steel","plate. Its round knob is dull and smoothed by much use.",,,,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"manhole",0,"This is a three-foot-wide hole in the centre of the street,","concealed by a perforated stone cover which allows the","stream of water and refuse to drain into the sewers.",,,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"iron sink",0,"This large iron sink is crudely fashioned to resemble a","toad, its gaping mouth open wide. Four webbed feet hold it","high off of the ground. Upon further examination, you think","that the inside is extensively rusted... until you notice","the pool of red liquid on the floor beneath the sink and","realize that the 'rust' is actually dried blood.",0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"fireplace",0,"This squat, gaping fireplace is completely blackened with","soot. A large iron hook hangs inside for a pot which isn't","there, and the bricks which it is made of are beginning to","crumble and fall out.",,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"brick",0,"Searching the bricks in the fireplace, you eventually find","one whose deceptive newness is masked by dirt. It is","actually made of steel, and moves easily under your touch.",,,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,"black door",0,"Steel bands reinforce this black wooden door. A small","shuttered slit is cut at eye level, allowing whomever is","inside to look out, but not allowing you to look in. An","elaborate depression in the shape of a five-pointed star","is set just above the handle of the door.",,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,"spiked collar",0,"This heavy iron collar is studded with cruel-looking spikes.","It is large enough that it must have been worn by an animal","of great size, and could comfortably fit around the neck of","a human. It has some strange runes inscribed about its edge.",,,75,0,-1,20,2,0,0,10,1,0,0,8,-5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,28,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"rope and grapple",0,"This is a coil of braided hemp rope, strongly woven and","well-made. It could hold the weight of even the heaviest","adventurer. It is attached to a heavy four-pronged iron","grapple, and is useful for climbing up out of pits or over","obstacles.",,84,10,-1,5,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"red skull",0,"This huge horned skull is carved right into the face of the","wall. It is so finely made that is appears to be alive,","leering hideously at you. Its large eye sockets are like","bottomless pits, with no light reflecting from within the","polished holes whatsoever. Its strong jaw is clenched shut,","and its apparently razor-sharp teeth fit perfectly together.",0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,"scroll of greater curse",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,60,2,0,0,80,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,"scroll of divine favour",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,600,2,0,0,250,25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"scroll of divine disfavour",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,600,2,0,0,80,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"scroll of black wind",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,850,2,0,0,60,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"scroll of godheal",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,1000,2,0,0,40,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,"scroll of god's wrath",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,1250,2,4,15,0,0,0,0,0,25,1,0,250,1,8328,8329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"scroll of great healing rain",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,1500,2,2,12,0,0,0,0,0,10,1,0,1000,1,8337,8338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"scroll of paralyze",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,1750,2,2,13,10,0,0,0,0,10,1,40,1200,1,8237,8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,"scroll of divine fury",0,"This holy writ details the exact prayers and intonations","necessary to gain the power to learn this spell.",,,,,25,9,1,2500,2,4,12,10,0,2,0,0,10,1,50,1300,1,8226,8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,42,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"sacrificial robes",0,"These jet black robes are made of a heavy, tightly-woven","cloth. The cuffs, collar and hem are adorned with blood-red","sigils and glyphs. They radiate a definite aura of evil.",,,,120,0,-1,1000,2,0,0,90,0,0,1,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,98,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"emerald-tipped crozier",1,"This long cherrywood staff has been polished to a mirror","shine and gilded with elaborate designs along its length.","At its end, an emerald curl glitters and shines in the the","light. This holy weapon allows a priest to channel divine","intervention from his or her god!",,100,1,-1,2000,2,10,18,20,0,1,0,0,0,1,40,1750,1,8237,8286,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,86,10,69,5,145,20,135,20,43,384,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"bloodstained shortsword",0,"This needle-pointed blade is about two feet long, and is","razor-sharp. It is made of some dark metal, and seems to be","permanently stained with blood. A red rune glows brightly","at the base of the blade.",,,65,1,-1,3000,2,3,10,0,0,2,0,0,3,1,30,1000,1,8228,8287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,86,1,116,15,117,5,118,12,98,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"moonblade",0,"This finely-made sword glows with a silvery light. It is","extremely sharp and seems to be made of some sort of","translucent metal. Pale yellow runes engraved into its","surface glow softly.",,,120,1,-1,7500,2,5,16,0,0,2,0,0,12,1,50,1450,1,8226,8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,86,100,114,20,43,180,135,25,116,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"switch",0,"This is a simple iron switch, set under the edge of the","stone table.",,,,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"stone table",0,"This is a huge stone table, its edge right at your eye","level. Deep cracks riddle its surface, and it is worn with","age and heavy use. A stone chair of appropriate size stands","nearby.",,,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
