"Number","Name","Group","Index","Weapon Number","AC","DR","Follow","MR","Experience","Hit Points","HP Regen","Energy","Game Limit","Charm LvL","Charm RES","BS Defense","Active","Type","Undead","Alignment","Gender","Regen Time","Date Killed","Time Killed","Runic","Platinum","Gold","Silver","Copper","Move Msg","Death Msg","Greet Txt","Desc Txt","Talk Txt","Death Spell","Create Spell","Desc 1","Desc 2","Desc 3","Desc 4","Attack Type 0","Attack Accu/Spell 0","Attack % 0","Attack Min Hit/Cast % 0","Attack Max Hit/Cast LVL 0","Attack Hit Msg 0","Attack Dodge Msg 0","Attack Miss Msg 0","Attack Energy 0","Attack Hit Spell 0","Spell Number 0","Spell Cast % 0","Spell Cast LVL 0","Attack Type 1","Attack Accu/Spell 1","Attack % 1","Attack Min Hit/Cast % 1","Attack Max Hit/Cast LVL 1","Attack Hit Msg 1","Attack Dodge Msg 1","Attack Miss Msg 1","Attack Energy 1","Attack Hit Spell 1","Spell Number 1","Spell Cast % 1","Spell Cast LVL 1","Attack Type 2","Attack Accu/Spell 2","Attack % 2","Attack Min Hit/Cast % 2","Attack Max Hit/Cast LVL 2","Attack Hit Msg 2","Attack Dodge Msg 2","Attack Miss Msg 2","Attack Energy 2","Attack Hit Spell 2","Spell Number 2","Spell Cast % 2","Spell Cast LVL 2","Attack Type 3","Attack Accu/Spell 3","Attack % 3","Attack Min Hit/Cast % 3","Attack Max Hit/Cast LVL 3","Attack Hit Msg 3","Attack Dodge Msg 3","Attack Miss Msg 3","Attack Energy 3","Attack Hit Spell 3","Spell Number 3","Spell Cast % 3","Spell Cast LVL 3","Attack Type 4","Attack Accu/Spell 4","Attack % 4","Attack Min Hit/Cast % 4","Attack Max Hit/Cast LVL 4","Attack Hit Msg 4","Attack Dodge Msg 4","Attack Miss Msg 4","Attack Energy 4","Attack Hit Spell 4","Spell Number 4","Spell Cast % 4","Spell Cast LVL 4","Item Number 0","Item Uses 0","Item Drop % 0","Item Number 1","Item Uses 1","Item Drop % 1","Item Number 2","Item Uses 2","Item Drop % 2","Item Number 3","Item Uses 3","Item Drop % 3","Item Number 4","Item Uses 4","Item Drop % 4","Item Number 5","Item Uses 5","Item Drop % 5","Item Number 6","Item Uses 6","Item Drop % 6","Item Number 7","Item Uses 7","Item Drop % 7","Item Number 8","Item Uses 8","Item Drop % 8","Item Number 9","Item Uses 9","Item Drop % 9","Ability 0","Ability Value 0","Ability 1","Ability Value 1","Ability 2","Ability Value 2","Ability 3","Ability Value 3","Ability 4","Ability Value 4","Ability 5","Ability Value 5","Ability 6","Ability Value 6","Ability 7","Ability Value 7","Ability 8","Ability Value 8","Ability 9","Ability Value 9"
336,"dark-elf citizen",22,21,68,45,3,50,59,375.00,150,15,1000,0,24,72,0,0,2,0,2,2,0,0,0,0,0,1,10,10,1300,1299,805,2000,0,0,0,"This dark-elf has a rather noble air about her and moves with much","grace. She is dressed in black robes that nearly reach the ground","and a drawn hood hides her features. A long curved dagger hangs from","her belt.",1,75,100,2,10,1299,8297,8310,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,"dark-elf nobleman",22,22,295,50,3,80,54,650.00,200,20,1000,0,26,75,0,0,2,0,2,1,0,0,0,0,0,30,0,0,1297,1298,805,2000,0,0,0,"This haughty dark-elf is dressed in fine silks and silvery jewelry.","A long blade hangs from a scabbard on his back, and from the easy","grace with which he moves, he knows how to use it.",,1,90,100,4,14,1298,8297,8310,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,"dark-elf servant",22,21,68,45,3,50,50,375.00,150,15,1000,0,24,72,0,0,2,0,2,1,0,0,0,0,0,0,0,10,1300,1299,805,2000,0,0,0,"This dark-elf moves about performing such jobs as delivering meals,","cleaning messes and passing on messages. Although subserviant to the","other dark-elves, he is nonetheless a decent fighter with his long","curved knife.",1,85,100,2,10,1299,8297,8310,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,"dark-elf warlock",22,20,1740,50,2,90,56,850.00,160,16,1000,0,28,80,0,0,1,0,2,1,0,0,0,0,0,2,0,0,1297,1301,805,2000,0,0,0,"This formidable-looking warrior is garbed in black leather armour.","Around his neck hangs a strange talisman, and he wields a long blade","in one hand. His intense gaze seems to pierce the shadows, an aura of","power emanating strongly from him.",1,90,30,3,15,1301,8297,8310,500,0,59,10,16,2,8,70,100,16,1,1,1,1000,0,63,20,16,2,243,100,100,12,1,1,1,1000,0,0,0,0,0,59,85,100,16,1,1,1,500,0,0,0,0,0,63,100,100,16,1,1,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"dark-elf priestess",22,24,1337,40,2,100,70,1500.00,300,110,1000,0,999,999,0,0,1,0,2,2,0,0,0,0,0,1,0,0,66,1306,0,0,0,0,0,"Garbed in black robes and gazing at you with a look of absolute","hatred, before you stands a priestess of the dark-elf goddess.","Swearing at you in her native language, she gathers her arms about","her, preparing to summon the wrath of her diety upon you.",1,80,30,4,16,1306,8297,8310,200,0,251,15,20,2,252,100,100,25,1,1,1,1000,0,253,30,20,0,251,80,100,20,1,1,1,500,0,0,0,0,0,253,100,100,20,1,1,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,"dark-elf high priestess",22,0,821,50,2,100,70,150000.00,1100,110,1000,1,999,999,0,0,1,0,2,2,1,0,0,0,0,50,0,0,66,1306,817,0,0,0,0,"Before you stands one of the most feared creatures in dark-elf","society, the royal priestess. She is dressed in robes of the deepest","black and in one hand she holds a rune-etched sceptre. Her eyes are","bottomless pools of darkness and her gaze chills you to your soul.",1,95,30,4,16,1306,8297,8310,200,0,251,15,20,2,1259,100,100,30,1,1,1,1000,0,253,30,20,0,251,80,100,20,1,1,1,500,0,0,0,0,0,253,100,100,20,1,1,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,"dark-elf weaponsmaster",22,0,822,65,4,100,90,400000.00,1000,100,1000,1,9999,999,0,0,1,0,2,1,0,0,0,0,0,50,0,0,66,1307,819,0,0,0,0,"This mail-clad warrior moves with the feral grace of a seasoned","warrior. His every movement is both accurate and lightning-quick.","Girded about his waist is an elaborate scabbard, and a long black","sword hilt thrusts out from within.",1,165,85,7,27,1307,8297,8310,200,0,0,0,0,1,165,100,25,100,1308,8297,8310,200,0,0,0,0,1,0,0,0,0,1309,8297,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,-1,2,1524,-1,4,419,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,21,0,28,2,139,15,5,33,0,0,0,0,0,0,0,0,0,0
343,"dark-elf queen",22,0,823,70,5,100,100,1500000.00,1200,120,1000,1,9999,9999,100,0,1,0,2,2,24,0,0,0,0,3000,20000,0,66,1316,821,0,0,0,456,"The queen of the dark-elves of this region is almost masculinely","muscular, moves with uncanny speed even for an elf. An aura of utter","dominance radiates from her, and she eyes you with a gaze so piercing","you feel as though she sees right through you.",1,135,30,10,40,1316,8297,8310,250,0,440,25,40,1,135,40,40,100,48,8297,8310,250,0,439,35,40,2,441,75,100,40,1,1,1,500,0,264,40,40,2,288,100,100,40,1,1,1,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,823,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,146,342,5,33,28,3,139,20,0,0,0,0,0,0,0,0,0,0
344,"master torturer",22,0,824,65,4,95,70,40000.00,400,40,1000,1,9999,9999,0,0,0,0,2,1,1,0,0,0,0,100,0,0,66,1318,823,0,0,0,0,"This cruel-looking dark-elf is feared throughout the city as the","embodiment of pitiless evil. He is wearing bloodstained black robes,","and carries a nine-tailed whip which is streaked with flayed flesh","and gore. A look of insane rapture is upon his face.",1,115,75,1,25,1318,8297,8310,250,0,0,0,0,1,115,100,4,80,1320,8297,8310,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"dark-elf archmage",22,0,687,65,2,100,85,130000.00,1000,100,1000,1,9999,999,100,0,3,0,2,1,2,0,0,0,0,50,500,0,66,1321,825,0,0,0,0,"An aura of power surrounds this master of magic. From beneath his","drawn hood you see glowing eyes peering out at the world with a dark","knowledge no mortal should possess. He grips a long, twisted bone","staff in both hands.",1,85,30,5,18,1321,8297,8310,200,361,264,15,30,2,441,75,100,30,1,1,1,1000,0,1110,20,30,2,1197,100,100,30,1,1,1,1000,0,256,30,30,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,-1,5,810,-1,100,839,-1,100,1818,1,25,548,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,21,0,139,20,28,2,0,0,0,0,0,0,0,0,0,0,0,0
346,"captain of the guard",22,0,825,65,4,100,85,100000.00,1200,120,1000,1,999,9999,15,0,0,0,2,1,2,0,0,0,0,50,0,0,66,1323,827,0,0,0,0,"This fearsome-looking dark-elf is garbed in black field plate and","wears a robe of the deepest crimson. His face is completely obscured","by the lowered visor of his helmet, which emanates a dull blackness.","He deftly wields a large claymore that pulsates with blue energy.",1,125,25,8,20,1323,8297,8310,200,0,0,0,0,1,125,85,8,20,1323,8297,8310,200,443,0,0,0,1,125,100,25,80,1308,8297,8310,200,0,0,0,0,0,0,0,0,0,340,8297,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,-1,5,826,-1,5,811,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,"obsidian statue",37,999,64,40,8,100,65,0.00,300,100,1000,1,9999,999,60,0,3,0,2,0,0,0,0,0,0,0,0,0,1388,1324,33,0,0,0,0,"This tall, finely-chiseled stone statue glitters darkly in the light.","Carved to ressemble a mail-clad dark-elf bearing a long sword, it","stands guard over the black gates.",,1,100,100,8,30,1324,8297,8310,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,21,0,28,1,5,100,66,50,0,0,0,0,0,0,0,0,0,0
348,"sleazy shopkeeper",22,100,68,0,0,0,9989,0.00,100,100,0,1,999,999,100,0,3,0,2,1,1,0,0,0,0,0,0,0,66,66,838,0,0,0,0,"This ancient-looking dark-elf must be upwards of four hundred years","old if he's a day. His clothing looks to be old and tattered, but","still functional. He frequently falls into hacking coughing spasms,","doubling over and clutching his chest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,50,34,100,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,"slime serpent",22,30,0,60,2,100,58,1100.00,225,23,1000,0,30,100,40,0,0,0,2,0,0,0,0,0,0,0,0,0,1325,1326,801,2001,0,0,0,"This long, finned monstrosity slithers through the incredible filth","of the moat. Hundreds of glossy black scales glisten with slime, and","its wide mouth is filled with a multitude of long, curved, needle-","like teeth.",1,103,100,8,30,1326,8306,8293,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,"dark-elf royal guard",22,25,1740,55,4,100,66,3000.00,225,23,1000,0,999,999,0,0,1,0,2,1,0,0,0,0,0,5,0,0,66,1302,805,0,0,0,0,"This frightening-looking dark-elf has only one purpose in life - to","protect his king and queen. His is clad in grey and black chainmail,","and in his heavily muscled arms he wields a fine bastard-sword.",,1,115,75,5,20,1302,8297,8310,250,0,0,0,0,1,115,90,8,30,1303,8297,8310,250,0,0,0,0,1,115,100,20,60,48,8297,8310,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"guardian beast",22,31,0,45,8,100,80,80000.00,750,75,1000,1,9999,9999,0,0,0,0,2,0,24,0,0,0,0,0,0,0,66,1327,119,0,0,0,0,"This eight-foot monstrosity looks like something out of a nightmare.","Its skin is jet black, and its head is nothing more than a lump","peeking out of its barrel-like chest. Glowing amber eyes peer out","above a wide mouth filled with sharp, thick teeth.",1,84,80,8,28,1327,8311,8299,250,0,0,0,0,1,120,90,35,100,27,8311,8294,700,0,0,0,0,1,200,100,60,120,8451,8479,8294,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,21,0,5,25,28,2,139,5,0,0,0,0,0,0,0,0,0,0
352,"slaver",22,40,64,50,2,75,50,375.00,150,15,1000,0,22,70,0,0,2,0,1,1,0,0,0,0,0,5,50,0,1328,1329,31,2000,0,0,0,"This seedy-looking fellow is clothed in dirty leather armour, and a","well-used blade hangs by his side. He peers about with a sneaky grin,","seemingly thinking of new and improved ways to abuse whatever his","gaze lands on.",1,50,100,4,14,1329,8297,8310,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,"slaver leader",22,100,637,60,3,100,60,1500.00,250,25,1000,1,9999,9999,0,0,1,0,2,1,1,0,0,0,0,40,0,0,66,1330,31,0,0,444,0,"This cruel-looking man is dressed in well-kept combat leathers, and","wields a vicious barbed whip. There is a nasty, but intelligent glint","in his eye.",,1,74,5,3,15,1330,8297,8310,333,351,0,0,0,1,90,100,3,15,1330,8297,8310,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,"guard dog",22,41,0,0,1,85,53,600.00,150,15,1000,0,9999,9999,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1333,1334,119,2001,0,0,0,"This large, vicious creature is as large as a wolf, and appears to be","a cross of two or more of the most dangerous breeds of hounds. Its","dirty grey-black pelt is covered in mangy patches, and it snaps","wildly at you with bloodlust in its eyes!",1,90,100,4,16,1334,8306,8293,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,57,0,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,"prisoner",22,42,0,0,0,0,15,0.00,10,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,66,1335,829,0,0,0,0,"This dishevelled, frightened person cowers in the corner. Garbed in","filthy, tattered clothing, it makes no attempt to make contact and","does not respond to talking.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,"slave lord",22,100,295,65,4,90,65,4000.00,350,35,1000,1,999,9999,0,0,1,0,2,1,1,0,0,0,0,50,0,0,66,1336,831,0,0,0,0,"Garbed in a strange assortment of half-plate and leather, the slave","lord is a figure of utter dominance. An unflinching look of command","spears out from beneath bushy eyebrows, his steady hand would wield","the long sword at his hip with remarkable skill.",1,110,100,6,20,1336,8297,8310,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,"dark-elf emissary",22,100,793,50,2,75,54,650.00,150,15,1000,1,22,75,0,0,0,0,2,1,1,0,0,0,0,20,0,0,66,1176,805,2000,0,0,0,"This dark-elf moves about with superb grace and makes no sound","whatsoever. Wielding an adamantite spear and black, form-fitting","leather, he has the look of a predator in his eyes.",,1,110,70,5,18,1176,8297,8310,500,0,0,0,0,1,100,100,5,18,1176,8297,8310,500,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,"wererat",22,50,80,0,0,90,62,2000.00,300,30,1000,0,32,85,50,0,2,0,2,0,0,0,0,0,0,5,0,0,1338,1339,833,2000,0,0,0,"This shifty-eyed creature looks like a cross between a rat and a","human. It stands five feet tall on its two legs, and in its clawed","hands it grips a wide-bladed sword. Wererats are immune to all","poisons and to the disease which they pass on wherever they go.",1,95,90,6,22,1339,8297,8310,500,0,0,0,0,1,105,100,3,12,1340,8297,8310,500,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,"wererat shaman",22,51,101,0,0,90,67,3250.00,375,38,1000,0,40,90,50,0,1,0,2,0,0,0,0,0,0,5,0,0,1338,1341,833,2000,0,0,0,"This shifty-eyed creature looks like a cross between a rat and a","human. It stands five feet tall on its two legs, and in its clawed","hands it grips a short, iron-knobbed staff. Bags of ritual talismans","and grisly spell components hang from its belt.",1,112,40,4,20,1341,8297,8310,500,0,0,0,0,1,102,80,3,12,1340,8297,8310,500,445,0,0,0,2,95,100,100,24,1,1,1,1000,0,0,0,0,0,143,100,100,24,1,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,"wererat champion",22,52,78,0,4,90,75,5000.00,450,45,1000,0,50,95,50,0,1,0,2,0,0,0,0,0,0,10,0,0,1338,1342,833,2000,0,0,0,"This tall, muscular wererat is garbed in an assortment of half-plate","armour, and wields a heavy greatsword with ease and skill. It leers","cruelly at you from beneath its iron helm, and moves with grace and","speed despite the heavy armour.",1,120,70,6,30,1342,8297,8310,500,0,0,0,0,1,102,90,3,12,1340,8297,8310,500,445,0,0,0,1,120,100,20,100,1343,8297,8310,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,"wererat plague-crafter",22,53,74,0,0,90,76,6000.00,500,50,1000,0,40,100,50,0,1,0,2,0,0,0,0,0,0,15,0,0,1402,1344,833,0,0,0,0,"This nasty-looking wererat is garbed in a swath of black robes. An","aura of pure evil radiates from it, and the crafty look of lunacy in","its eyes only adds to its crazed appearance. Flasks of a strange","liquid hang from its belt, and in one hand it wields a heavy sickle.",1,94,50,4,18,1344,8297,8310,250,0,0,0,0,1,105,60,3,12,1340,8297,8310,500,445,0,0,0,2,95,80,100,30,1343,8297,8310,1000,0,0,0,0,2,446,100,100,30,1,1,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,"plagued prisoner",22,54,0,0,0,0,15,0.00,10,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,66,1335,829,0,0,0,0,"This dishevelled, frightened person cowers in the corner. Garbed in","filthy, tattered clothing, it makes no attempt to make contact and","does not respond to talking. Pustulent boils and raw festering wounds","on the prisoner's skin constantly drip a vile, stinking fluid.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,"ghost knight",22,55,0,0,0,0,9989,0.00,9999,9999,0,1,9999,9999,100,0,3,0,4,1,1,0,0,0,0,0,0,0,66,66,861,0,0,0,0,"A haze of shimmering light surrounds this ghostly apparition. The","spectral knight's features are drawn with an incredible sadness, his","once-proud and powerful form now sunken with grief. Powerful","emanations of goodness ripple out from him in waves.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,50,28,100,109,0,21,0,57,0,0,0,0,0,0,0,0,0,0,0
364,"wererat emissary",22,100,78,0,4,90,75,5000.00,450,45,1000,1,36,95,50,0,2,0,2,0,1,0,0,0,0,25,0,0,1338,1342,833,2000,0,0,0,"This tall, muscular wererat is garbed in an assortment of half-plate","armour, and wields a heavy greatsword with ease and skill. It leers","cruelly at you from beneath its iron helm, and moves with grace and","speed despite the heavy armour.",1,105,70,6,30,1342,8297,8310,500,0,0,0,0,1,95,95,3,12,1340,8297,8310,500,445,0,0,0,1,105,100,24,100,1343,8297,8310,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,1,100,841,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,"dying slaver leader",37,100,637,20,2,0,10,0.00,50,0,0,1,9999,9999,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1331,1332,847,0,0,0,455,"The once-haughty slaver leader has now been reduced to a babbling","fool. He is a complete coward and would respond to any threats or","requests for information given to him.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"Remik of the Ebon Blade",38,999,1739,36,3,100,85,0.00,3500,350,1000,1,999,9999,45,0,3,0,3,1,0,0,0,0,0,0,0,0,66,2837,4178,0,0,0,0,"His attention drawn from his carving, Remik approaches you his","robes billowing up as he crosses the room. Your eyes dart between","the blade hanging at his hip and the tricks he performs with his","carving knife. He grins at your apprehension and bows.",1,140,50,18,45,1467,2489,2939,200,0,846,10,40,1,250,100,90,180,2491,2489,2939,200,0,844,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,50,0,0,25,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,75,139,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
