"Number","Name","Desc A","Desc B","Desc C","Type","Min Lvl","Max Lvl","MarkUp","Class Limit","Item 0","Max 0","Normal 0","Regen Time 0","Regen Number0","Regen %0","Item 1","Max 1","Normal 1","Regen Time 1","Regen Number1","Regen %1","Item 2","Max 2","Normal 2","Regen Time 2","Regen Number2","Regen %2","Item 3","Max 3","Normal 3","Regen Time 3","Regen Number3","Regen %3","Item 4","Max 4","Normal 4","Regen Time 4","Regen Number4","Regen %4","Item 5","Max 5","Normal 5","Regen Time 5","Regen Number5","Regen %5","Item 6","Max 6","Normal 6","Regen Time 6","Regen Number6","Regen %6","Item 7","Max 7","Normal 7","Regen Time 7","Regen Number7","Regen %7","Item 8","Max 8","Normal 8","Regen Time 8","Regen Number8","Regen %8","Item 9","Max 9","Normal 9","Regen Time 9","Regen Number9","Regen %9","Item 10","Max 10","Normal 10","Regen Time 10","Regen Number10","Regen %10","Item 11","Max 11","Normal 11","Regen Time 11","Regen Number11","Regen %11","Item 12","Max 12","Normal 12","Regen Time 12","Regen Number12","Regen %12","Item 13","Max 13","Normal 13","Regen Time 13","Regen Number13","Regen %13","Item 14","Max 14","Normal 14","Regen Time 14","Regen Number14","Regen %14","Item 15","Max 15","Normal 15","Regen Time 15","Regen Number15","Regen %15","Item 16","Max 16","Normal 16","Regen Time 16","Regen Number16","Regen %16","Item 17","Max 17","Normal 17","Regen Time 17","Regen Number17","Regen %17","Item 18","Max 18","Normal 18","Regen Time 18","Regen Number18","Regen %18","Item 19","Max 19","Normal 19","Regen Time 19","Regen Number19","Regen %19"
49,"Super Warrior Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Super Witchunter Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Super Mystic Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Super Ranger Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Super Priest Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Super Cleric Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Super Paladin Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Super Missionary Traniner","                                                   ","                                                   ","                                                   ",8,11,11,500,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Super Rogue Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Super Thief Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Super Bard Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Super Gypsy Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Super Warlock Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"Super Mage Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Super Druid Trainer","                                                   ","                                                   ","                                                   ",8,11,11,500,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"High Level Trainer","                                                   ","                                                   ","                                                   ",8,12,20,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Aldreth's Spells","                                                   ","                                                   ","                                                   ",10,1,1,100,0,317,5,1,48,1,25,318,5,1,48,1,25,319,4,1,48,1,25,321,3,1,48,1,25,322,2,1,48,1,25,380,2,1,48,1,25,315,6,1,48,1,25,304,3,1,48,1,25,316,4,1,48,1,25,305,2,1,48,1,25,502,2,1,48,1,25,324,3,1,48,1,25,326,2,1,48,1,25,328,2,1,48,1,25,381,2,1,48,1,25,387,3,1,48,1,15,396,2,1,48,1,25,397,3,1,48,1,25,398,2,1,48,1,25,399,2,1,48,1,25
66,"Ninja supply shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,363,15,1,240,1,10,364,10,1,240,1,5,365,5,1,240,1,5,366,30,1,240,1,20,367,35,1,240,1,20,368,20,1,240,1,20,1364,1,1,720,1,3,558,5,1,720,1,5,559,10,1,480,1,25,560,18,0,0,0,0,1328,3,0,0,0,0,1079,5,1,240,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Slum Store","                                                   ","                                                   ","                                                   ",10,1,1,175,0,1337,1,0,0,0,0,179,12,1,480,1,10,180,10,1,480,1,10,176,22,4,480,4,100,190,8,0,0,0,0,202,3,0,0,0,0,204,2,0,0,0,0,226,5,0,0,0,0,437,5,1,120,1,2,428,5,1,480,1,10,458,15,1,480,1,15,467,0,0,0,0,0,468,0,0,0,0,0,471,0,0,0,0,0,427,12,1,120,1,2,0,0,0,0,0,0,483,10,0,0,0,0,482,10,0,0,0,0,463,10,0,0,0,0,1257,1,1,480,1,2
68,"Holy Item Shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,400,12,1,240,1,10,406,10,0,0,0,0,409,10,1,240,1,10,1914,1,1,240,1,10,178,2,1,240,1,10,464,10,1,240,1,10,465,24,1,240,1,25,469,1,1,480,1,3,470,12,1,240,1,20,223,30,1,240,1,30,269,12,1,240,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Dreary Shop","                                                   ","                                                   ","                                                   ",10,1,1,200,0,179,15,1,480,1,50,202,5,1,720,1,3,420,1,1,720,1,1,1988,1,1,240,1,10,435,2,1,720,1,1,204,4,1,720,1,2,226,3,1,720,1,2,0,0,0,0,0,0,458,20,1,480,1,10,463,52,0,0,0,0,467,0,0,0,0,0,468,0,0,0,0,0,471,0,0,0,0,0,472,0,0,0,0,0,427,27,1,240,1,5,437,20,1,240,1,5,0,0,0,0,0,0,505,8,0,0,0,0,489,150,1,480,1,100,0,0,0,0,0,0
70,"Jorah's Tower, Leather/Chain","                                                   ","                                                   ","                                                   ",10,1,1,275,0,419,5,1,480,1,2,1857,5,1,480,1,4,1858,5,1,480,1,6,1859,5,1,480,1,8,846,5,1,480,1,3,442,5,1,480,1,3,412,5,1,480,1,3,1194,5,1,480,1,3,1852,5,1,480,1,3,1853,5,1,480,1,3,1875,5,1,480,1,5,1820,5,0,0,0,0,1821,5,0,0,0,0,1822,5,0,0,0,0,1823,5,0,0,0,0,443,6,1,480,1,5,414,28,1,480,1,3,362,16,1,480,1,3,1997,5,1,480,1,5,854,4,0,0,0,0
71,"Jorah's Tower, Misc.","                                                   ","                                                   ","                                                   ",10,1,1,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,4,1,480,1,3,0,0,0,0,0,0,436,3,1,480,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,2,1,480,1,3,466,10,1,480,1,5,191,5,1,120,1,5,1527,1,1,720,1,5
72,"Jorah's Tower, 1h Blunt Weapons","                                                   ","                                                   ","                                                   ",10,1,1,275,0,1069,1,1,720,1,3,877,3,0,0,0,0,870,3,1,480,1,3,596,3,1,480,1,3,0,0,0,0,0,0,732,5,1,480,1,3,451,5,1,480,1,3,462,5,1,480,1,3,875,1,1,720,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Jorah's Tower, Druid Spells","                                                   ","                                                   ","                                                   ",10,1,1,100,0,550,10,1,48,1,20,551,8,1,48,1,15,552,5,1,48,1,10,553,3,1,48,1,5,315,8,1,48,1,25,304,10,1,48,1,20,316,7,1,48,1,15,305,4,1,48,1,10,387,3,1,48,1,5,1750,16,1,24,1,75,0,0,1,48,1,30,0,0,1,48,1,25,0,0,1,48,1,20,0,0,1,48,1,15,0,0,1,48,1,10,0,0,1,48,1,5,554,1,1,48,1,5,0,0,0,0,0,0,0,0,0,0,0,0,631,5,0,0,0,0
74,"Titan Trainer","                                                   ","                                                   ","                                                   ",8,21,50,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Very Powerful Spells","                                                   ","                                                   ","                                                   ",10,1,1,100,0,554,3,1,252,1,8,555,2,1,252,1,6,556,1,1,252,1,4,557,1,1,252,1,2,546,3,1,252,1,8,547,2,1,252,1,6,548,1,1,252,1,4,549,1,1,252,1,5,200,2,1,252,1,8,201,1,1,252,1,5,224,1,1,252,1,2,1324,1,1,252,1,8,1817,1,1,252,1,10,1681,1,1,252,1,5,1086,1,1,252,1,5,1815,1,1,252,1,5,1646,1,1,252,1,5,1751,1,1,252,1,5,0,0,0,0,0,0,0,0,0,0,0,0
76,"Jael's Missile Weapons","                                                   ","                                                   ","                                                   ",1,0,0,100,0,208,25,1,240,1,100,591,16,1,240,1,75,623,10,1,240,1,50,624,6,1,240,1,25,625,45,2,240,2,100,626,30,1,240,1,100,1201,1,1,240,1,5,1229,1,1,240,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"Rhudaur Weapon Shop","                                                   ","                                                   ","                                                   ",1,0,0,200,0,68,40,2,240,2,100,67,35,2,240,2,100,65,30,1,240,1,100,79,12,1,240,1,50,72,25,1,240,1,100,361,4,1,240,1,10,458,22,1,240,1,100,71,26,1,240,1,100,81,12,1,240,1,50,87,30,1,240,1,100,88,24,1,240,1,100,102,10,1,240,1,50,171,5,1,240,1,25,90,86,5,240,5,100,92,67,5,240,5,100,101,50,2,240,2,100,116,5,1,240,1,10,204,1,0,0,0,0,226,1,0,0,0,0,0,0,0,0,0,0
78,"Rhudaur Armour Shop","                                                   ","                                                   ","                                                   ",2,0,0,200,0,12,50,2,240,2,100,23,50,2,240,2,100,33,50,2,240,2,100,41,50,2,240,2,100,49,50,2,240,2,100,14,20,1,240,1,100,24,20,1,240,1,100,34,20,1,240,1,100,42,20,1,240,1,100,50,20,1,240,1,100,16,10,1,240,1,50,26,10,1,240,1,50,36,10,1,240,1,50,53,25,1,240,1,100,56,15,1,240,1,100,59,20,1,240,1,100,179,6,1,240,1,20,180,8,1,240,1,20,0,0,0,0,0,0,0,0,0,0,0,0
79,"Rhudaur Exotic Items Shop","                                                   ","                                                   ","                                                   ",1,0,0,200,0,363,15,1,720,1,100,364,10,1,720,1,100,365,13,1,720,1,100,1883,1,1,720,1,3,55,25,1,720,1,50,289,20,1,720,1,50,429,22,1,720,1,50,440,20,1,720,1,50,632,3,1,720,1,10,633,5,1,720,1,10,514,6,1,720,1,10,634,4,1,720,1,10,635,8,1,720,1,20,636,10,1,720,1,20,637,15,1,720,1,25,638,0,0,0,0,0,639,0,0,0,0,0,640,0,0,0,0,0,641,0,0,0,0,0,1973,0,0,0,0,0
80,"Rhudaur Magic Goods","                                                   ","                                                   ","                                                   ",4,0,0,200,0,274,50,1,240,1,100,20,50,1,240,1,100,0,0,0,0,0,0,38,50,1,240,1,100,105,50,1,240,1,100,404,5,1,720,1,10,435,1,1,720,1,5,223,25,1,720,1,50,269,20,1,720,1,50,466,5,1,720,1,5,470,8,1,720,1,10,202,12,1,720,1,25,139,10,1,720,1,100,193,20,1,720,1,100,195,5,1,720,1,20,196,4,1,720,1,20,393,16,1,720,1,100,329,20,1,720,1,100,324,15,1,720,1,50,300,35,1,720,1,100
81,"Rhudaur Missile Weapons","                                                   ","                                                   ","                                                   ",1,0,0,200,0,208,30,1,480,1,50,591,20,1,480,1,25,623,16,1,480,1,25,624,10,1,480,1,20,625,50,1,480,1,100,626,35,1,480,1,100,592,5,1,480,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"Rhudaur Thieve's Guild","                                                   ","                                                   ","                                                   ",0,0,0,200,0,46,10,1,720,1,25,366,12,1,720,1,50,367,12,1,720,1,50,368,12,1,720,1,50,420,3,1,720,1,5,558,4,1,720,1,20,560,15,1,720,1,20,559,20,1,720,1,20,647,50,1,720,1,100,648,20,1,720,1,50,175,100,1,720,1,100,976,25,25,240,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"Rhudaur Bank","                                                   ","                                                   ","                                                   ",7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"Rhudaur Trainer","                                                   ","                                                   ","                                                   ",8,12,30,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Sysop Support Shop","                                                   ","                                                   ","                                                   ",2,0,0,0,0,657,1000,10,480,10,100,1964,1,1,480,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Boat Launch","                                                   ","                                                   ","                                                   ",0,0,0,400,0,691,100,10,2,10,100,690,250,25,2,25,100,1181,10,1,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"Elven Shop","                                                   ","                                                   ","                                                   ",0,0,0,150,0,731,30,1,240,1,100,290,100,100,240,100,100,291,100,100,240,100,100,292,100,100,240,100,100,422,6,1,480,1,6,445,10,1,480,1,10,217,8,1,480,1,8,727,5,1,480,1,5,728,2,1,480,1,2,862,1,1,480,1,2,830,1,1,480,1,5,1836,1,1,480,1,5,1837,1,1,480,1,10,47,5,1,360,1,5,205,2,1,480,1,5,712,5,0,0,0,0,1883,1,1,480,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Recycler Shop","                                                   ","                                                   ","                                                   ",0,0,0,500,0,113,0,0,0,0,0,167,0,0,0,0,0,210,0,0,0,0,0,211,0,0,0,0,0,212,0,0,0,0,0,213,0,0,0,0,0,214,0,0,0,0,0,215,0,0,0,0,0,216,0,0,0,0,0,218,0,0,0,0,0,258,0,0,0,0,0,265,0,0,0,0,0,267,0,0,0,0,0,325,0,0,0,0,0,432,0,0,0,0,0,460,0,0,0,0,0,473,0,0,0,0,0,478,0,0,0,0,0,495,0,0,0,0,0,497,0,0,0,0,0
89,"Recycler Shop 2","                                                   ","                                                   ","                                                   ",0,1,1,500,0,203,0,0,0,0,0,541,0,0,0,0,0,561,0,0,0,0,0,609,0,0,0,0,0,685,0,0,0,0,0,687,0,0,0,0,0,719,0,0,0,0,0,720,0,0,0,0,0,703,0,0,0,0,0,748,0,0,0,0,0,763,0,0,0,0,0,784,0,0,0,0,0,798,0,0,0,0,0,741,0,0,0,0,0,742,0,0,0,0,0,745,0,0,0,0,0,749,0,0,0,0,0,750,0,0,0,0,0,800,0,0,0,0,0,999,0,0,0,0,0
90,"Etheral Trainer","                                                   ","                                                   ","                                                   ",8,1,54,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"sleazy dark-elf shop","                                                   ","                                                   ","                                                   ",0,0,0,5000,0,176,50,1,240,1,100,0,0,0,0,0,0,793,10,0,0,0,0,826,0,0,0,0,0,829,0,0,0,0,0,831,0,0,0,0,0,832,1,0,0,0,0,833,0,0,0,0,0,834,0,0,0,0,0,836,0,0,0,0,0,821,0,0,0,0,0,822,0,0,0,0,0,823,0,0,0,0,0,824,5,0,0,0,0,825,0,0,0,0,0,191,1,1,480,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"Key Shop","                                                   ","                                                   ","                                                   ",10,1,1,100,0,844,10,1,720,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"Orfeo's Stuff","                                                   ","                                                   ","                                                   ",0,1,1,0,0,290,1000,100,240,100,100,291,1000,100,240,100,100,292,1000,100,240,100,100,293,1000,100,240,100,100,294,1000,100,240,100,100,924,1000,100,240,100,100,921,25,1,240,1,100,922,15,1,240,1,100,923,5,1,240,1,100,1609,5,1,640,1,10,1610,5,1,640,1,10,1611,5,1,640,1,10,1612,5,1,640,1,5,1284,1,1,640,1,5,1286,1,1,640,1,5,1304,1,1,720,1,2,1633,1,1,640,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"Gypsy Man","                                                   ","                                                   ","                                                   ",0,1,1,200,0,191,50,1,240,1,100,925,25,5,240,5,100,926,10,1,240,1,100,1999,5,1,720,1,3,2000,5,1,720,1,3,2001,5,1,720,1,3,2002,5,1,720,1,3,2003,5,1,720,1,3,2004,5,0,720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
